Section,Offence,Discription,Bail,Punishment,Triable_By,Congizance
IPC Section 109,"Abetment of any offence, if the act abetted is committed in consequence, and where no express provision is made for its punishment","Whoever abets any offence shall, if the act abetted is committed in consequence of the abetment, and no express provision is made by this Code for the punishment of such abetment, be punished with the punishment provided for the offence.",Same As Offence,Same As Offence,Same As Offence,Same As Offence
IPC Section 110,"Abetment of any offence, if the person abetted does the act with a different intention from that of the Abettor","Whoever abets the commission of an offence shall, if the person abetted does the act with a different intention or knowledge from that of the abettor, be punished with the punishment provided for the offence which would have been committed if the act had been done with the intention or knowledge of the abettor and with no other.",Same As Offence,Same As Offence,Same As Offence,Same As Offence
IPC Section 111,"Abetment of any offence, when one act is abetted and a different act is done (subject to the proviso)","When an Act is abetted and a different act is done, the abettor is liable for the act done, in the same manner and to the same extent as if he had directly abetted it.",Same As Offence,Same As Offence,Same As Offence,Same As Offence
IPC Section 113,"Abetment of any offence, when an effect is caused by the act abetted different from that intended by the abettor","When an act is abetted with the intention on the part of the abettor of causing a particular effect, and an act for which the abettor is liable in consequence of the abetment, causes a different effect from that intended by the abettor, the abettor is liable for the effect caused, in the same manner and to the same extent as if he had abetted the act with the intention of causing that effect, provided he knew that the act abetted was likely to cause that effect.",Same As Offence,Same As Offence,Same As Offence,Same As Offence
IPC Section 114,"Abetment of any offence, if abettor is present when offence is committed","Whenever any person who if absent would be liable to be punished as an abettor, is present when the act or offence for which he would be punishable in consequence of the abetment is committed, he shall be deemed to have committed such act or offence.",Same As Offence,Same As Offence,Same As Offence,Same As Offence
IPC Section 115,"
Abetment of an offence, punishable with death or imprisonment for life, If the offence be not committed in consequence of the abetment
If an act which causes harm to be done in consequence of the abetment
","Whoever abets the commission of an offence punishable with death or imprisonment for life, shall, if that offence be not committed in consequence of the abetment, and no express provision is made by this Code for the punishment of such abetment, be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine;","
Non-Bailable
Non-Bailable
","
7 Years + Fine
14 Years + Fine
","
Same As Offence
Same As Offence
","
Same As Offence
Same As Offence
"
IPC Section 116,"
Abetment of an offence, punishable with imprisonment, If the offence be not committed in consequence of the abetment
If the abettor or the person abetted be a public servant whose duty it is to prevent the offence
",,"
Same As Offence
Same As Offence
","
One-Fourth of Offence or Fine or Both
Half of Offence or Fine or Both
","
Same As Offence
Same As Offence
","
Same As Offence
Same As Offence
"
IPC Section 117,"Abetting the commission of an offence by the public, or by more than ten persons","Whoever abets the commission of an offence by the public generally or by any number or class of persons exceeding ten, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both.",Same As Offence,3 Years or Fine or Both,Same As Offence,Same As Offence
IPC Section 118,"
Concealing a design to commit an offence punishable with death or imprisonment for life, If the offence be committed
If the offence be not committed
","Whoever intending to facilitate or knowing it to be likely that he will thereby facilitate the commission of an offence punishable with death or imprisonment for life, voluntarily conceals, by any act or illegal omission, the existence of a design to commit such offence or makes any representation which he knows to be false respecting such design:","
Non-Bailable
Bailable
","
7 Years + Fine
3 Years + Fine
","
Same As Offence
Same As Offence
","
Same As Offence
Same As Offence
"
IPC Section 119,"
A public servant concealing a design to commit an offence which it is his duty to prevent, If The offence be committed
If the offence be punishable with death or imprisonment for life
If the offence be not committed
","Whoever, being a public servant intending to facilitate or knowing it to be likely that he will thereby facilitate the commission of an offence which it is his duty as such public servant to prevent, voluntarily conceals, by any act or illegal omission, the existence of a design to commit such offence, or makes any representation which he knows to be false respecting such design:","
Same As Offence
Non-Bailable
Same As Offence
","
Half of Offence or Fine or Both
10 Years
One-Fourth of Offence or Fine or Both
","
Same As Offence
Same As Offence
Same As Offence
","
Same As Offence
Same As Offence
Same As Offence
"
